learning_rate,batch_size,hidden_size,num_stacked_layers,window_size,train_mse,val_mse,train_mae,val_mae
0.001,16,64,3,20,0.015109961509996866,0.03169996090806448,0.10827861512277989,0.1896778241946147
0.001,16,64,3,50,0.012132559627544408,0.007218296854541852,0.0765606934977014,0.1075691357254982
0.001,16,64,4,5,0.035604744091397154,0.025165134109556675,0.19691415756940842,0.1994386578981693
0.001,16,64,4,7,0.026106848614290357,0.02038796654400917,0.15472253069889788,0.1770191272863975
0.001,16,64,4,10,0.015506192488234719,0.007632190791460184,0.09994488589617671,0.09515214424866897
0.001,16,64,4,14,0.01288785527018869,0.012173989160846058,0.09685921932881077,0.10325749304432136
0.001,16,64,4,20,0.02160018713069842,0.007744946311084697,0.13956025401328473,0.08424038755205962
0.001,16,64,4,50,0.017253121091393618,0.005324187258688303,0.10360962779420178,0.09250850631640507
0.001,16,128,1,5,0.026901688902871684,0.01830283273011446,0.16734354197978973,0.16448247318084425
0.001,16,128,1,7,0.020905967355154608,0.024653245121813737,0.1328363962927643,0.17355646193027496
0.001,16,128,1,10,0.013152548452905779,0.007565268637755742,0.09027637404446699,0.0981046798137518
0.001,16,128,1,14,0.021949658655406285,0.028739933640911028,0.1448204180536171,0.18640699753394493
0.001,16,128,1,20,0.015664181452829072,0.011187267991212698,0.1049456665332013,0.10045958826175103
0.001,16,128,1,50,0.018783009775755245,0.008516874844924761,0.11636810159174407,0.09134318994788024
0.001,16,128,2,5,0.010216639452264644,0.020553879009989593,0.09711015176028014,0.1429810323394262
0.001,16,128,2,7,0.01813543280016403,0.014529295265674591,0.11783906003954459,0.14588490644326577
0.001,16,128,2,10,0.01207812069444525,0.019933699916761655,0.09155904615716058,0.14668037971624961
0.001,16,128,2,14,0.012260255990743948,0.008361318775524314,0.09489279193803668,0.08823149049511322
0.001,16,128,2,20,0.011505475690083063,0.002986176279731668,0.0915777381271758,0.06227435830693979
0.001,16,128,2,50,0.013441736483378562,0.004987712842054092,0.09456445721954834,0.08801592427950639
0.001,16,128,3,5,0.0344001680240035,0.03712921675581198,0.18117470324039459,0.2452914256315965
